CELİ	2	sf.,esk.	Açık, aşikâr olan
CÜDA	2	sf.,esk.	Yurt, baba ocağı gibi çok sevilen şeylerden ayrılmış olan, uzak kalmış olan
DİDE	2	a.,esk.	► göz
DİMİ	2	a.	Sıkı dokunmuş bir tür pamuklu kumaş
EĞİR	2	a.,ağz.	Arıların çıkardığı bir salgı türü
EPER	2	a.	Işığa karşı bakıldığında kâğıt tabakasının yapısal görünümü
GANG	2	a.,min.	Bir maden cevherini, bir değerli taşı saran değersiz madde
GUŞA	2	a.,esk.,tıp	► guatr
HARS	2	a.,esk.	Tarla sürme
HERK	2	a.,ağz.	Sürüldükten sonra bir yıl dinlendirilen, nadasa bırakılan tarla
İLEK	2	a.	İncirin döllenmesini sağlayan sinek
İŞBA	2	a.,esk.	Karnını doyurma
İZAM	2	a.,esk.	► yollama
İZAZ	2	a.,esk.	► ağırlama
NAŞİ	2	e.,esk.	► ötürü
ÖREK	2	a.,ağz.	► duvar
RACİ	2	sf.,esk.	Geri dönen
RAMP	2	a.,tiy.	Bir tiyatro sahnesinin önünde, ışık ve ışıldakların yerleştirildiği, izleyiciye en yakın yer
SİYA	2	a.,den.	Kürekleri tersine kullanarak sandalı geriye yürütme
SOKU	2	a.,ağz.	Taştan yapılmış dibek
SOTA	2	sf.,argo	Uygun, elverişli (yer)
ŞASE	2	a.	İçine mendil, gecelik vb. şeyleri koymaya yarayan, çeşitli büyüklükte, kumaştan koruncak
ŞUFA	2	a.,esk.,huk.	► ön alım
TROK	2	a.	► değişim
ÜZRE	2	e.	343 üzere
ZADE	2	a.,esk.	► oğul
ACYO	1	a.,tic.	Herhangi bir paranın gerçek değeriyle sürüm değeri arasında veya bir ticaret senedinin üzerinde yazılı miktar ile indirimden sonraki tutarı arasında doğan fark
AFİS	1	a.,hay. b.	Gümüş balığının küçüğü
APEL	1	a.,ekon.	Anonim ortaklıklarda sermaye artırımı için yapılan ödeme çağrısı
AŞIT	1	a.,ağz.	Kuytu yer
ATAR	1	a.,argo	Birisine karşı veya bir olay karşısında korkusuzca bulunulan güç gösterisi
BATİ	1	sf.,esk.	Yavaş hareketli
BRİT	1	a.	Düğmeyi iliklemek için kumaş veya iplikten yapılmış, halka biçiminde, özel bir ilik türü
CİFE	1	a.,esk.	► leş
DARU	1	a.,esk.	► ilaç
DAYE	1	a.,esk.	► dadı
DEME	1	a.	Demek işi; eyitme
EKRU	1	a.	Krem rengine yakın beyaz
ENVA	1	a.,esk.	Çeşitler
FULE	1	a.	Adım aralığı
GACI	1	a.,argo	Çingeneler arasında kadın için kullanılan bir söz
HAMT	1	a.	Tanrı'ya şükretme
İKTA	1	a.,tar.	Bir kişinin mülkiyetinde olmayıp devlete ait olan toprakların vergilerinin veya gelirlerinin asker veya sivil erkâna hizmet ve maaşlarına karşılık verilmesi
İRCA	1	a.,esk.	Eski biçimine çevirme
KİPE	1	a.,sp.	Hızla bükülen kalçanın sert ve birden gerilişiyle, vücudun yatıştan ayaküstü duruşa veya asılmadan dayanmaya geçmesi
KOÇU	1	a.,esk.	Süslü bir tür gezme arabası
KOFA	1	a.,bit. b.	► hasır otu
KÖRE	1	a.,ağz.	► karınca yuvası
MANO	1	a.,argo	Kumar oynatan kişinin kazançtan aldığı pay
MİHR	1	a.,huk.	Müslüman bir erkeğin nikâh esnasında eşine vermeyi kabullendiği mal veya para
MİRA	1	a.,coğ.	Arazi üzerinde seçilmiş bir işaret noktasının düşeyini gösteren, yön belirtmek için uzaktan gözlenen, geometrik biçimli tahta lata
NESİ	1	zm.	Akrabası mı, yakını mı?
ORUN	1	a.	Özel yer
PEPE	1	sf.	Dudak sesleriyle başlayan kelimelerin ilk seslerini güçlükle söyleyen ve ancak birkaç kez tekrarladıktan sonra arkasını getirebilen (kimse); pepeme
RODA	1	a.,den.	Yöntemine uygun düzgün sarılmış halat yumağı
ROZA	1	a.	Bir tür pembe elmas
SÖBE	1	sf.	► oval
TAPİ	1	a.	Pokerde kâğıtlar dağıtılmadan önce oyunculardan birinin fiş veya parasını ortaya sürdükten sonra önünde fişi veya parası kalmadığını belirtmek için söylediği söz
TULU	1	a.,esk.	Güneşin doğması, doğuşu
TÜRE	1	a.,esk.	► adalet
ULUM	1	a.,esk.	Bilimler, ilimler
UZAM	1	a.,fel.	Algılanan nesnelerin temel niteliği
VAHİ	1	sf.,esk.	► saçma
VENA	1	a.,anat.	► toplardamar
ZİLİ	1	a.	Enine ve boyuna motifleri olan, daha çok yolluk olarak kullanılan kilim
ABLİ	0	a.,den.	Yatay serenlerin ucuna bağlı bulunan ve bunları sağa, sola veya ortaya çevirmek için yararlanılan halat veya palanga
ÂCİZ	0	sf.	Bir işi yapabilecek gücü, becerisi veya yeteneği olmayan
ACVE	0	a.	Medine'de yetişen, koyu renkli, tombul çekirdekli iyi cins bir tür hurma
AÇAN	0	a.,anat.	Oynak kemiklerin arasındaki açıları genişletmeye yarayan kasların genel adı, büken karşıtı
AÇIM	0	a.	Açmak işi
AÇIŞ	0	a.	Açmak işi
ADAT	0	a.	Töreler, âdetler
ADCI	0	sf.,fel.	Adcılık öğretisine bağlı (kimse); isimci
ÂDEM	0	a.	► insan
ÂDET	0	a.,top. b.	► görenek
ADIL	0	a.,db.	► zamir (I)
ADLI	0	sf.	... adını taşıyan; isimli
AGÂH	0	sf.,esk.	► bilgili
AGUŞ	0	a.,esk.	► kucak
AĞCA	0	sf.	► akça (I)
AĞCI	0	a.	Ağ ile balık tutarak geçinen kimse
AĞIM	0	a.	Ayağın üstündeki tümsek yer
AĞLI	0	sf.	Ağı bulunan
AĞMA	0	a.	Ağmak işi
AĞSI	0	sf.,anat.	Ağ görünüşünde olan, ağ gibi örülmüş olan
AHÇI	0	a.	343 aşçı
AHDÎ	0	sf.,esk.	Antlaşmaya göre olan, antlaşma gereği olan
AHİZ	0	a.,esk.	Alma
AHŞA	0	a.,esk.,anat.	► bağır
ÂKİT	0	sf.	► bağıtçı
AKLI	0	sf.	Beyazı bulunan, beyaz renkli
AKSA	0	sf.	Uzakta bulunan
AKVA	0	a.	Bir tür sırmalı ve köstekli bıçak
ALAT	0	a.	Aletler
ALDI	0	ağz.	"söylemeye başladı" anlamında kullanılan bir söz
ÂLEM	0	a.,gök b.	► evren
ALIŞ	0	a.	Almak işi
ÂLİM	0	a.	► bilim adamı
ALLI	0	sf.	Üzerinde veya içerisinde al renk bulunan
ÂMİN	0	ünl.,din b.	Dualardan ve hayır dileklerinden sonra “Allah kabul etsin, öyle olsun!” anlamında kullanılan bir söz
AMİT	0	a.,kim.	Amonyağın hidrojeni yerine bir asit kökünün geçmesiyle oluşan birleşiklerin sınıf adı
ANAL	0	sf.,tıp	Anüsle ilgili
ANÜS	0	a.,anat.	Sindirim sisteminin sonunda bulunan ve dışkının atılmasına yarayan çıkış deliği; büzük, göt, makat, sofra, şerç
APIŞ	0	a.	Butların iç tarafı
ÂRAZ	0	a.	Herhangi bir hastalık vb.nde ortaya çıkan belirtiler
ARIŞ	0	a.,esk.	Kolun dirsekten parmaklara kadar olan bölümü
ASIM	0	a.	Asmak işi
ÂŞIK	0	a.	Bir kimseye veya bir şeye karşı aşırı sevgi ve bağlılık duyan, vurgun, tutkun kimse
AŞIM	0	a.	Aşmak işi
AŞİR	0	a.,din b.	Bir dinî tören sırasında veya cemaatle namaz kılınıp dua edildikten sonra okunan Kur'an ayetleri
AŞMA	0	a.	Aşmak işi
AŞOZ	0	a.,den.	Ahşap gemilerin omurgalarının uzunluğunca ve iki yanında borda kaplamalarının en dar yüzünü yerleştirmek için açılan keskin, sivri köşeli yuva
ÂYAN	0	a.,esk.	İleri gelenler
AYIT	0	a.,bit. b.	Mine çiçeğigillerden, Akdeniz çevresinde yetişen, mavi, beyaz veya menekşe renginde çiçekler açan, 1-2 metre boyunda bir ağaççık; kadın otu, hayıt (Vitex agnus-castus)
AYLI	0	sf.	Üzerinde ay biçimi bulunan
AYMA	0	a.	Aymak işi
AZCA	0	zf.	Oldukça az
AZEL	0	a.,ekon.	Sunumun birkaç satıcı tarafından yapıldığı ve bu az sayıdaki satıcının birbirlerinin üretim kararlarından etkilendiği piyasa türü; oligopol
AZIŞ	0	a.	Azmak işi
AZİT	0	a.,kim.	Azotürün grup hâlinde üç azot atomu içeren organik türevlerinin ortak adı
AZOL	0	a.,kim.	Heterosiklik birleşiklerin önemli bir sınıfı
BAĞI	0	a.	► göz bağı
BARI	0	a.,ağz.	► çit (I)
BARK	0	a.,esk.	► ev
BELİ	0	ünl.,esk.	► evet
BİLİ	0	a.	► bilgi
BİNİ	0	a.,ağz.	Binmek işi
