GÖMÜK	sf.	Gömülmüş olan, gömülü
GÖMÜŞ	a.	Gömmek işi
GÖMÜT	a.	► mezar
GÖNCÜ	a.,ağz.	Ham veya işlenmiş deri satan kimse
GÖNEN	a.,ağz.	Ekilecek toprağın sulandırılması
GÖNÜL	a.	Sevgi, istek, düşünüş, anma, hatır vb. duyguların kaynağı; içeri, yürek, dil (II), kalp (I)
GÖNYE	a.	Dik açıları ölçmeye ve çizmeye yarayan dik üçgen biçiminde araç
GÖREV	a.	Bir nesne veya bir kimsenin yaptığı iş
GÖRGÜ	a.	Bir toplum içinde var olan ve uyulması gereken saygı ve incelik davranışları; terbiye (I)
GÖRME	a.	Görmek işi; rüyet, müşahede
GÖRÜM	a.	Görme yetisi
GÖRÜŞ	a.	Görmek işi
GÖVDE	a.	Bir şeyin asıl bölümü
GÖVEK	a.,ağz.	Cevizin yeşil kabuğu
GÖVEL	sf.,ağz.	Yeşil başlı
GÖVEM	a.,ağz.	Sığırlara dadanan zar kanatlı bir tür sinek
GÖYME	a.	Göymek işi
GÖYÜK	sf.,ağz.	Yanık, yanmış olan
GÖZCÜ	a.	Gözlemleme veya gözetleme işini yapan kimse; dideban
GÖZDE	sf.	Benzerleri arasında nitelikleri sebebiyle üstün tutulan, beğenilen, önem verilen (kimse veya şey); favori
GÖZER	a.,ağz.	Buğday, toprak vb.nin elendiği iri gözlü kalbur
GÖZGÜ	a.,esk.	► ayna
GÖZLÜ	sf.	Gözü olan
GRADO	a.,kim.	Bir sıvının içindeki alkol derecesi
GRENA	a.,min.	Nar çiçeği renginde bir süs taşı
GRİDA	a.	► lagos
GRİZU	a.,kim.	Normal sıcaklık ve basınçta kömür ocaklarında açığa çıkan ve büyük bölümü saf metandan oluşan, kolayca tutuşabilen gaz
GROGİ	a.	Boksta rakibinin yumruklarıyla çok sarsılmış ancak hâlâ ayakta durabilen boksör
GROSA	a.	Yüz kırk dört adede karşılık gelen sayı birimi
GUANO	a.	Özellikle deniz kuşlarının pisliklerinin bir yerde uzun süreden beri birikip yığılmasıyla oluşan, azot ve fosfat bakımından zengin, gübre olarak kullanılan madde
GUARD	a.,sp.	343 oyun kurucu
GUATR	a.,tıp	Boyundaki troit bezinin aşırı büyümesiyle beliren hastalık; guşa, cedre
GUDDE	a.,esk.,anat.	► beze (I)
GUGUK	a.	► guguk kuşu
GULAŞ	a.	Etli, salçalı bir Macar yemeği
GULET	a.,den.	İki direkli, yelkenli savaş gemisi
GURME	sf.	Yiyecek ve içecek konusunda uzmanlık ölçüsünde bilgisi bulunan, tadına bakan ve lezzetini değerlendiren (kimse); tatbilir
GURUP	a.	Ay, güneş, yıldız vb. gök cisimlerinin ufkun altına inmesi
GURUR	a.	Kendini beğenme; azamet
GUSTO	a.	► beğeni
GUSÜL	a.,din b.	► boy abdesti
GÜBRE	a.	Verimini artırmak için toprağa dökülen her türlü hayvan dışkısı, kimyasal veya bitkisel madde; kemre
GÜBÜR	a.,ağz.	► çöp
GÜCÜK	sf.,ağz.	Kısa, bodur, gelişmemiş
GÜCÜN	zf.,ağz.	► dara dar
GÜÇLÜ	sf.	Gücü, kuvveti olan; yavuz
GÜDEK	a.	Amaçlanan sonuç, güdülen şey
GÜDÜK	sf.	Eksik yanı olan, tamamlanmamış, kısa
GÜDÜM	a.	Yönetmek işi; idare
GÜFTE	a.	Müzik eserlerinin yazılı metni; söz
GÜĞÜM	a.	Yandan kulplu, boynu uzun, genellikle bakırdan su kabı; debbe
GÜLCÜ	a.	Gül yetiştiren veya alıp satan kimse
GÜLEÇ	sf.	Her zaman gülümseyen; mütebessim
GÜLLE	a.	Eskiden som taş veya demirden, yuvarlak bir biçimde yapılırken, günümüzde çelikten silindir biçiminde, bir ucu sivri olarak yapılan top mermisi
GÜLLÜ	sf.	Gülü olan
GÜLME	a.	Gülmek işi; hande
GÜLÜK	a.,ağz.	► hindi
GÜLÜŞ	a.	Gülmek işi; hande
GÜLÜT	a.,sin.,tiy.	Skeç, revü, eğlence gösterisi vb.ne eklenen beklenmedik gülünç sözler veya durumlar
GÜMAN	a.	► kuşku
GÜMEÇ	a.	Bal peteğini oluşturan altı köşeli gözeneklerden her biri
GÜMÜL	a.,ağz.	Susam ve ekin demeti veya yığını
GÜMÜŞ	a.,kim.	Atom numarası 47, atom ağırlığı 107,88, yoğunluğu 10,5 olan, 960 °C'ye doğru sıvı durumuna geçen, parlak beyaz renkte, kolay işlenir ve tel durumuna gelebilen element; sim (I), arjante (simgesi Ag)
GÜNAH	a.	Dinî bakımdan suç sayılan iş veya davranış
GÜNCE	a.,ed.	► günlük (I)
GÜNDE	zf.	► her gün
GÜNEÇ	a.,ağz.	Çok güneş alan yer
GÜNEY	a.	Bulunulan yerde sola doğu, sağa batı alındığında yüzün dönük olduğu yön; lodosluk, cenup, kuzey karşıtı
GÜNLÜ	sf.	► tarihli
GÜPÜR	a.	İplikten veya ipekten olan, geniş ilmeklerden oluşan bir dantel türü
GÜRUH	a.	Değersiz, aşağı görülen, küçümsenen topluluk; derinti
GÜTME	a.	Gütmek işi
GÜVEÇ	a.	İçinde yemek pişirilen toprak kap
GÜVEN	a.	Korku, çekinme ve kuşku duymadan inanma ve bağlanma duygusu; emniyet, itimat
GÜVEY	a.	► damat
GÜVEZ	a.	Mora çalan kırmızı renk; güvezî
GÜZEL	sf.	Göze ve kulağa hoş gelen, hayranlık uyandıran, çirkin karşıtı
GÜZEY	a.,coğ.	Az güneş alan, çok gölgeli kuzey yamaç
GÜZÜN	zf.	Güz mevsiminde, sonbaharda
HABBE	a.,esk.	Tahıl tanesi; evin
HABER	a.	Bir olay, bir olgu üzerine edinilen bilgi; çav (I), selen
HABEŞ	a.	► Etiyopyalı
HABİP	a.,esk.	► sevgili
HABİS	sf.	Kötü, alçak, soysuz (kimse)
HACET	a.	Herhangi bir şey için gerekli olma; ihtiyaç, gereklilik, lüzum
HACİM	a.	Bir cismin uzayda doldurduğu boşluk; oylum, cirim, sıygı
HACİR	a.,esk.,huk.	► kısıt
